"Zona portuaria","Sociedad Portuaria","Tipo de embalaje","Exportación","Importación","Transbordo","Tránsito Internacional","Fluvial","Cabotaje","vigencia_anno","vigencia_mes"
"GUAJIRA","CERREJON ZONA NORTE S.A.","TEUS vacios",,"91",,,,,"2.018","4"
"CARTAGENA","COMPAÑIA DE PUERTOS ASOCIADOS S.A.","TEUS vacios","437","79","448","1.589",,,"2.018","4"
"CARTAGENA","SOCIEDAD PORTUARIA TRANSMARSYP S.A.","TEUS llenos",,,,,,"478","2.018","4"
"CARTAGENA","TERMINAL DE CONTENEDORES DE CARTAGENA S. A.","TEUS vacios","4.695","84","13.655",,,,"2.018","4"
"SANTA MARTA","SOCIEDAD PORTUARIA REGIONAL DE SANTA MARTA SA","TEUS vacios","3.584","1.786","113",,,"8","2.018","4"
"CARTAGENA","SOCIEDAD PORTUARIA PUERTO BAHIA SA","TEUS llenos","4",,,,,"155","2.018","4"
"SANTA MARTA","SOCIEDAD PORTUARIA REGIONAL DE SANTA MARTA SA","TEUS llenos","589","3.606",,,,,"2.018","4"
"CARTAGENA","TERMINAL DE CONTENEDORES DE CARTAGENA S. A.","TEUS llenos","12.756","17.155","99.246",,,,"2.018","5"
"SAN ANDRES","SAN ANDRES PORT SOCIETY SA","TEUS vacios","218",,,,,"571","2.018","5"
"CARTAGENA","PUERTO DE MAMONAL S.A.","TEUS llenos",,"7",,,,,"2.018","5"
"GUAJIRA","CERREJON ZONA NORTE S.A.","TEUS vacios",,"111",,,,,"2.018","5"
"CARTAGENA","COMPAÑIA DE PUERTOS ASOCIADOS S.A.","TEUS vacios","423","199","102","680",,,"2.018","5"
"SANTA MARTA","SOCIEDAD PORTUARIA REGIONAL DE SANTA MARTA SA","TEUS vacios","2.977","2.099","55",,,"2","2.018","5"
"CARTAGENA","COMPAÑIA DE PUERTOS ASOCIADOS S.A.","TEUS llenos","1.965","2.573","414","1.190",,,"2.018","5"
"SAN ANDRES","SAN ANDRES PORT SOCIETY SA","TEUS llenos","4","257",,,,"482","2.018","5"
"CARTAGENA","SOCIEDAD PORTUARIA REGIONAL DE CARTAGENA SA","TEUS vacios","4.737","237","9.982",,,,"2.018","5"
"GUAJIRA","CERREJON ZONA NORTE S.A.","TEUS llenos",,"100",,,,,"2.018","5"
"BARRANQUILLA","SOCIEDAD PORTUARIA REGIONAL DE BARRANQUILLA S.A.","TEUS vacios","2.302","699",,,,,"2.018","5"
"BARRANQUILLA","SOCIEDAD PORTUARIA REGIONAL DE BARRANQUILLA S.A.","TEUS llenos","3.418","5.730",,,,,"2.018","5"
"BUENAVENTURA","SOCIEDAD PORTUARIA REGIONAL DE BUENAVENTURA S.A","TEUS llenos","9.506","21.497","43.365",,,,"2.018","5"
"BUENAVENTURA","SOCIEDAD PORTUARIA REGIONAL DE BUENAVENTURA S.A","TEUS vacios",,,"0",,,,"2.018","5"
"CARTAGENA","SOCIEDAD PORTUARIA PUERTO BAHIA SA","TEUS vacios",,,"30",,,"65","2.018","5"
"CARTAGENA","TERMINAL DE CONTENEDORES DE CARTAGENA S. A.","TEUS vacios","4.412","270","21.100",,,,"2.018","5"
"CARTAGENA","SOCIEDAD PORTUARIA TRANSMARSYP S.A.","TEUS llenos",,,,,,"434","2.018","5"
"CARTAGENA","SOCIEDAD PORTUARIA TRANSMARSYP S.A.","TEUS vacios",,,,,,"0","2.018","5"
"BARRANQUILLA","PALERMO SOCIEDAD PORTUARIA S.A","TEUS llenos",,"2",,,,,"2.018","5"
"BUENAVENTURA","SOCIEDAD PORTUARIA TERMINAL DE CONTENEDORES DE BUENAVENTURA S.A.","TEUS vacios","3.571",,"7.028",,,,"2.018","5"
"TURBO","PROMOTORA BANANERA S.A","TEUS llenos","540",,,,,"60","2.018","5"
"TURBO","C.I. UNIÓN DE BANANEROS DE URABA S.A. - UNIBAN","TEUS llenos","3.879","931",,,,"82","2.018","5"
"BUENAVENTURA","SOCIEDAD PUERTO INDUSTRIAL AGUADULCE S.A.","TEUS llenos","1.615","6.864",,,,,"2.018","5"
"BUENAVENTURA","SOCIEDAD PORTUARIA TERMINAL DE CONTENEDORES DE BUENAVENTURA S.A.","TEUS llenos","4.448","11.839","5.345",,,,"2.018","5"
"CARTAGENA","SOCIEDAD PORTUARIA REGIONAL DE CARTAGENA SA","TEUS llenos","4.419","7.847","21.212",,,,"2.018","5"
"BUENAVENTURA","SOCIEDAD PUERTO INDUSTRIAL AGUADULCE S.A.","TEUS vacios","2.979",,,,,,"2.018","5"
"CARTAGENA","SOCIEDAD PORTUARIA PUERTO BAHIA SA","TEUS llenos",,,,,,"209","2.018","5"
"SANTA MARTA","SOCIEDAD PORTUARIA REGIONAL DE SANTA MARTA SA","TEUS llenos","754","3.274",,,,,"2.018","5"
"CARTAGENA","SOCIEDAD PORTUARIA REGIONAL DE CARTAGENA SA","TEUS llenos","5.277","8.777","20.220",,,,"2.018","6"
"BUENAVENTURA","SOCIEDAD PORTUARIA TERMINAL DE CONTENEDORES DE BUENAVENTURA S.A.","TEUS vacios","9.225",,"5.384",,,,"2.018","6"
"CARTAGENA","SOCIEDAD PORTUARIA TRANSMARSYP S.A.","TEUS llenos",,,,,,"504","2.018","6"
"CARTAGENA","SOCIEDAD PORTUARIA PUERTO BAHIA SA","TEUS vacios",,,"10",,,"105","2.018","6"
"BUENAVENTURA","SOCIEDAD PUERTO INDUSTRIAL AGUADULCE S.A.","TEUS vacios","3.797",,,,,,"2.018","6"
"TURBO","C.I. UNIÓN DE BANANEROS DE URABA S.A. - UNIBAN","TEUS llenos","2.932","1.636",,,,"58","2.018","6"
"BUENAVENTURA","SOCIEDAD PORTUARIA TERMINAL DE CONTENEDORES DE BUENAVENTURA S.A.","TEUS llenos","2.546","10.317","4.217",,,,"2.018","6"
"GUAJIRA","CERREJON ZONA NORTE S.A.","TEUS vacios",,"83",,,,,"2.018","6"
"BUENAVENTURA","SOCIEDAD PORTUARIA REGIONAL DE BUENAVENTURA S.A","TEUS llenos","10.544","20.031","36.968",,,,"2.018","6"
"GUAJIRA","CERREJON ZONA NORTE S.A.","TEUS llenos",,"117",,,,,"2.018","6"
"BARRANQUILLA","SOCIEDAD PORTUARIA REGIONAL DE BARRANQUILLA S.A.","TEUS vacios","1.663","586",,,,"4","2.018","6"
"SANTA MARTA","SOCIEDAD PORTUARIA REGIONAL DE SANTA MARTA SA","TEUS vacios","3.902","1.940","36",,,,"2.018","6"
"SANTA MARTA","SOCIEDAD PORTUARIA REGIONAL DE SANTA MARTA SA","TEUS llenos","445","3.774",,,,,"2.018","6"
"CARTAGENA","TERMINAL DE CONTENEDORES DE CARTAGENA S. A.","TEUS vacios","7.105","20","16.163",,,,"2.018","6"
"BARRANQUILLA","SOCIEDAD PORTUARIA REGIONAL DE BARRANQUILLA S.A.","TEUS llenos","3.538","5.268",,"28",,,"2.018","6"
"CARTAGENA","TERMINAL DE CONTENEDORES DE CARTAGENA S. A.","TEUS llenos","11.494","14.784","90.465",,,,"2.018","6"
"CARTAGENA","PUERTO DE MAMONAL S.A.","TEUS llenos",,"46",,,,,"2.018","6"
"TURBO","PROMOTORA BANANERA S.A","TEUS llenos","750",,,,,"24","2.018","6"
"CARTAGENA","SOCIEDAD PORTUARIA PUERTO BAHIA SA","TEUS llenos",,,,,,"125","2.018","6"
"SAN ANDRES","SAN ANDRES PORT SOCIETY SA","TEUS vacios","172",,,,,"543","2.018","6"
"CARTAGENA","COMPAÑIA DE PUERTOS ASOCIADOS S.A.","TEUS vacios","385","199","135","1.190",,,"2.018","6"
"SAN ANDRES","SAN ANDRES PORT SOCIETY SA","TEUS llenos","124","210",,"2",,"462","2.018","6"
"CARTAGENA","SOCIEDAD PORTUARIA REGIONAL DE CARTAGENA SA","TEUS vacios","2.326","212","12.751",,,,"2.018","6"
"CARTAGENA","COMPAÑIA DE PUERTOS ASOCIADOS S.A.","TEUS llenos","2.292","2.663","467","1.429",,,"2.018","6"
"BUENAVENTURA","SOCIEDAD PUERTO INDUSTRIAL AGUADULCE S.A.","TEUS llenos","2.146","10.047",,,,,"2.018","6"
"BARRANQUILLA","PALERMO SOCIEDAD PORTUARIA S.A","TEUS llenos",,"0",,,,,"2.018","6"
