"Zona portuaria","Sociedad Portuaria","Tipo de embalaje","Exportación","Importación","Transbordo","Tránsito Internacional","Fluvial","Cabotaje","vigencia_anno","vigencia_mes"
"BUENAVENTURA","SOCIEDAD PORTUARIA TERMINAL DE CONTENEDORES DE BUENAVENTURA S.A.","TEUS llenos","3.676","12.136","905",,,,"2.024","3"
"CARTAGENA","COMPAÑIA DE PUERTOS ASOCIADOS S.A.","TEUS llenos","1.778","1.197",,"562",,,"2.024","3"
"CARTAGENA","COMPAÑIA DE PUERTOS ASOCIADOS S.A.","TEUS vacios","2.469","798",,"86",,,"2.024","3"
"BUENAVENTURA","SOCIEDAD PUERTO INDUSTRIAL AGUADULCE S.A.","TEUS vacios","13.623",,,,,"40","2.024","3"
"BUENAVENTURA","SOCIEDAD PUERTO INDUSTRIAL AGUADULCE S.A.","TEUS llenos","6.420","21.860",,,,"546","2.024","4"
"BARRANCABERMEJA","SOCIEDAD PORTUARIA IMPALA TERMINALS BARRANCABERMEJA S.A.","TEUS vacios",,,,,"84",,"2.024","4"
"BUENAVENTURA","SOCIEDAD PORTUARIA TERMINAL DE CONTENEDORES DE BUENAVENTURA S.A.","TEUS vacios","9.739","1",,,,,"2.024","4"
"BUENAVENTURA","SOCIEDAD PORTUARIA REGIONAL DE BUENAVENTURA S.A","TEUS vacios","4.827",,"2.449",,,,"2.024","4"
"BARRANQUILLA","SOCIEDAD PORTUARIA REGIONAL DE BARRANQUILLA S.A.","TEUS llenos","5.300","4.996","14","12",,,"2.024","4"
"BARRANCABERMEJA","SOCIEDAD PORTUARIA IMPALA TERMINALS BARRANCABERMEJA S.A.","TEUS llenos",,,,,"217",,"2.024","4"
"SANTA MARTA","SOCIEDAD PORTUARIA REGIONAL DE SANTA MARTA SA","TEUS vacios","5.777","863",,,,"40","2.024","4"
"CARTAGENA","SOCIEDAD PORTUARIA TRANSMARSYP S.A.","TEUS llenos",,,,,,"488","2.024","4"
"CARTAGENA","SOCIEDAD PORTUARIA TRANSMARSYP S.A.","TEUS vacios",,,,,,"34","2.024","4"
"BUENAVENTURA","SOCIEDAD PUERTO INDUSTRIAL AGUADULCE S.A.","TEUS vacios","15.236",,,,,"38","2.024","4"
"CARTAGENA","TERMINAL DE CONTENEDORES DE CARTAGENA S. A.","TEUS vacios","5.713","2.352","43.680",,,"1.407","2.024","4"
"BUENAVENTURA","SOCIEDAD PORTUARIA REGIONAL DE BUENAVENTURA S.A","TEUS llenos","6.885","10.699","7.588",,,,"2.024","4"
"TURBO","UNIBAN LOGISTICA S.A","TEUS llenos","4.792","359",,,,"537","2.024","4"
"CARTAGENA","TERMINAL DE CONTENEDORES DE CARTAGENA S. A.","TEUS llenos","16.765","19.808","121.173",,,"5.642","2.024","4"
"TURBO","UNIBAN LOGISTICA S.A","TEUS vacios","397","4.865",,,,,"2.024","4"
"SAN ANDRES","SAN ANDRES PORT SOCIETY SA","TEUS vacios","144",,,,,"637","2.024","4"
"BARRANQUILLA","PALERMO SOCIEDAD PORTUARIA S.A","TEUS llenos",,,"0",,,,"2.024","4"
"BARRANQUILLA","SOCIEDAD PORTUARIA REGIONAL DE BARRANQUILLA S.A.","TEUS vacios","1.057","1.741",,,,"712","2.024","4"
"CARTAGENA","PUERTO DE MAMONAL S.A.","TEUS llenos",,"8",,,,,"2.024","4"
"CARTAGENA","SOCIEDAD PORTUARIA PUERTO BAHIA SA","TEUS vacios",,,"84",,,,"2.024","4"
"BUENAVENTURA","SOCIEDAD PORTUARIA TERMINAL DE CONTENEDORES DE BUENAVENTURA S.A.","TEUS llenos","3.521","13.156","868",,,,"2.024","4"
"CARTAGENA","COMPAÑIA DE PUERTOS ASOCIADOS S.A.","TEUS vacios","4.247","422",,,,,"2.024","4"
"SAN ANDRES","SAN ANDRES PORT SOCIETY SA","TEUS llenos","3","144",,,,"634","2.024","4"
"CARTAGENA","COMPAÑIA DE PUERTOS ASOCIADOS S.A.","TEUS llenos","1.785","2.099",,"1.380",,,"2.024","4"
"CARTAGENA","SOCIEDAD PORTUARIA REGIONAL DE CARTAGENA SA","TEUS llenos","7.632","13.229","29.880",,,"656","2.024","4"
"CARTAGENA","SOCIEDAD PORTUARIA REGIONAL DE CARTAGENA SA","TEUS vacios","4.040","1.139","9.183",,,"1.420","2.024","4"
"BUENAVENTURA","SOCIEDAD PORTUARIA TERMINAL DE CONTENEDORES DE BUENAVENTURA S.A.","TEUS llenos","3.721","14.706","764",,,,"2.024","5"
"SAN ANDRES","SAN ANDRES PORT SOCIETY SA","TEUS llenos",,"121",,,,"457","2.024","5"
"TURBO","UNIBAN LOGISTICA S.A","TEUS llenos","3.798","406",,,,"633","2.024","5"
"SAN ANDRES","SAN ANDRES PORT SOCIETY SA","TEUS vacios","138",,,,,"512","2.024","5"
"TURBO","UNIBAN LOGISTICA S.A","TEUS vacios","174","3.502",,,,,"2.024","5"
"CARTAGENA","COMPAÑIA DE PUERTOS ASOCIADOS S.A.","TEUS llenos","1.846","1.836",,"1.137",,,"2.024","5"
"BUENAVENTURA","SOCIEDAD PORTUARIA TERMINAL DE CONTENEDORES DE BUENAVENTURA S.A.","TEUS vacios","9.126","4","1.810",,,,"2.024","5"
"CARTAGENA","SOCIEDAD PORTUARIA REGIONAL DE CARTAGENA SA","TEUS llenos","8.489","13.116","37.396",,,"883","2.024","5"
"CARTAGENA","SOCIEDAD PORTUARIA PUERTO BAHIA SA","TEUS llenos",,"12",,,,,"2.024","5"
"BUENAVENTURA","SOCIEDAD PORTUARIA REGIONAL DE BUENAVENTURA S.A","TEUS llenos","5.178","12.694","2.383",,,,"2.024","5"
"BARRANQUILLA","SOCIEDAD PORTUARIA REGIONAL DE BARRANQUILLA S.A.","TEUS vacios","1.194","1.856",,,,"490","2.024","5"
"BARRANCABERMEJA","SOCIEDAD PORTUARIA IMPALA TERMINALS BARRANCABERMEJA S.A.","TEUS vacios",,,,,"144",,"2.024","5"
"CARTAGENA","TERMINAL DE CONTENEDORES DE CARTAGENA S. A.","TEUS llenos","18.546","18.286","121.098",,,"5.213","2.024","5"
"BUENAVENTURA","SOCIEDAD PORTUARIA REGIONAL DE BUENAVENTURA S.A","TEUS vacios","5.031","2","1.732",,,,"2.024","5"
"CARTAGENA","SOCIEDAD PORTUARIA TRANSMARSYP S.A.","TEUS llenos",,,,,,"424","2.024","5"
"BARRANQUILLA","SOCIEDAD PORTUARIA REGIONAL DE BARRANQUILLA S.A.","TEUS llenos","5.343","4.671","64","74",,,"2.024","5"
"BUENAVENTURA","SOCIEDAD PUERTO INDUSTRIAL AGUADULCE S.A.","TEUS llenos","6.494","22.712",,,,"757","2.024","5"
"BUENAVENTURA","SOCIEDAD PUERTO INDUSTRIAL AGUADULCE S.A.","TEUS vacios","15.209",,,,,"16","2.024","5"
"CARTAGENA","SOCIEDAD PORTUARIA REGIONAL DE CARTAGENA SA","TEUS vacios","3.052","1.970","7.803",,,"871","2.024","5"
"BARRANCABERMEJA","SOCIEDAD PORTUARIA IMPALA TERMINALS BARRANCABERMEJA S.A.","TEUS llenos",,,,,"201",,"2.024","5"
"CARTAGENA","SOCIEDAD PORTUARIA TRANSMARSYP S.A.","TEUS vacios",,,,,,"39","2.024","5"
"BARRANQUILLA","PALERMO SOCIEDAD PORTUARIA S.A","TEUS llenos",,"0","0",,,,"2.024","5"
"CARTAGENA","SOCIEDAD PORTUARIA PUERTO BAHIA SA","TEUS vacios",,,"28",,,,"2.024","5"
"CARTAGENA","COMPAÑIA DE PUERTOS ASOCIADOS S.A.","TEUS vacios","2.101","604",,,,,"2.024","5"
"CARTAGENA","TERMINAL DE CONTENEDORES DE CARTAGENA S. A.","TEUS vacios","5.933","2.238","42.973",,,"903","2.024","5"
"SANTA MARTA","SOCIEDAD PORTUARIA REGIONAL DE SANTA MARTA SA","TEUS vacios","5.253","1.079","76",,,"50","2.024","5"
"CARTAGENA","SOCIEDAD PORTUARIA PUERTO BAHIA SA","TEUS vacios",,,"18",,,,"2.024","6"
"BUENAVENTURA","SOCIEDAD PORTUARIA REGIONAL DE BUENAVENTURA S.A","TEUS llenos","7.872","13.969","2.686",,,,"2.024","6"
"BARRANQUILLA","SOCIEDAD PORTUARIA REGIONAL DE BARRANQUILLA S.A.","TEUS llenos","5.361","4.906","25","10",,,"2.024","6"
"SANTA MARTA","SOCIEDAD PORTUARIA REGIONAL DE SANTA MARTA SA","TEUS vacios","4.707","762","67",,,"99","2.024","6"
"SAN ANDRES","SAN ANDRES PORT SOCIETY SA","TEUS vacios","104",,,,,"434","2.024","6"
"BUENAVENTURA","SOCIEDAD PORTUARIA TERMINAL DE CONTENEDORES DE BUENAVENTURA S.A.","TEUS vacios","9.620","8",,,,,"2.024","6"
"CARTAGENA","COMPAÑIA DE PUERTOS ASOCIADOS S.A.","TEUS llenos","2.529","1.517",,"138",,,"2.024","6"
"BUENAVENTURA","SOCIEDAD PORTUARIA TERMINAL DE CONTENEDORES DE BUENAVENTURA S.A.","TEUS llenos","4.458","15.966","905",,,,"2.024","6"
"SAN ANDRES","SAN ANDRES PORT SOCIETY SA","TEUS llenos",,"99",,,,"554","2.024","6"
"BARRANQUILLA","SOCIEDAD PORTUARIA REGIONAL DE BARRANQUILLA S.A.","TEUS vacios","1.139","2.579",,,,"519","2.024","6"
"CARTAGENA","SOCIEDAD PORTUARIA REGIONAL DE CARTAGENA SA","TEUS vacios","2.473","1.448","15.011",,,"830","2.024","6"
"CARTAGENA","SOCIEDAD PORTUARIA PUERTO BAHIA SA","TEUS llenos",,"2",,,,,"2.024","6"
"CARTAGENA","PUERTO DE MAMONAL S.A.","TEUS llenos",,"2",,,,,"2.024","6"
"TURBO","UNIBAN LOGISTICA S.A","TEUS llenos","3.241","239",,,,"693","2.024","6"
"TURBO","UNIBAN LOGISTICA S.A","TEUS vacios","404","2.980",,,,,"2.024","6"
"BUENAVENTURA","SOCIEDAD PUERTO INDUSTRIAL AGUADULCE S.A.","TEUS llenos","7.026","20.894",,,,"1.135","2.024","6"
"BARRANQUILLA","PALERMO SOCIEDAD PORTUARIA S.A","TEUS llenos",,"0","0",,,,"2.024","6"
"CARTAGENA","COMPAÑIA DE PUERTOS ASOCIADOS S.A.","TEUS vacios","1.875","536",,,,,"2.024","6"
"BARRANCABERMEJA","SOCIEDAD PORTUARIA IMPALA TERMINALS BARRANCABERMEJA S.A.","TEUS llenos",,,,,"112",,"2.024","6"
"CARTAGENA","TERMINAL DE CONTENEDORES DE CARTAGENA S. A.","TEUS vacios","4.922","2.326","38.523",,,"1.003","2.024","6"
"CARTAGENA","SOCIEDAD PORTUARIA REGIONAL DE CARTAGENA SA","TEUS llenos","7.145","11.320","35.433",,,"914","2.024","6"
"CARTAGENA","SOCIEDAD PORTUARIA TRANSMARSYP S.A.","TEUS llenos",,,,,,"568","2.024","6"
"BUENAVENTURA","SOCIEDAD PUERTO INDUSTRIAL AGUADULCE S.A.","TEUS vacios","15.907",,,,,,"2.024","6"
"BARRANCABERMEJA","SOCIEDAD PORTUARIA IMPALA TERMINALS BARRANCABERMEJA S.A.","TEUS vacios",,,,,"80",,"2.024","6"
"CARTAGENA","TERMINAL DE CONTENEDORES DE CARTAGENA S. A.","TEUS llenos","17.700","18.443","123.801",,,"5.475","2.024","6"
"CARTAGENA","SOCIEDAD PORTUARIA TRANSMARSYP S.A.","TEUS vacios",,,,,,"23","2.024","6"
"BUENAVENTURA","SOCIEDAD PORTUARIA REGIONAL DE BUENAVENTURA S.A","TEUS vacios","6.271",,"1.712",,,,"2.024","6"
"BUENAVENTURA","SOCIEDAD PUERTO INDUSTRIAL AGUADULCE S.A.","TEUS llenos","5.820","23.765",,,,"782","2.024","7"
"CARTAGENA","COMPAÑIA DE PUERTOS ASOCIADOS S.A.","TEUS vacios","2.370","446",,"930",,,"2.024","7"
"BUENAVENTURA","SOCIEDAD PORTUARIA TERMINAL DE CONTENEDORES DE BUENAVENTURA S.A.","TEUS vacios","7.638","8","1.219",,,,"2.024","7"
"BARRANQUILLA","SOCIEDAD PORTUARIA REGIONAL DE BARRANQUILLA S.A.","TEUS llenos","5.477","5.033","3","18",,,"2.024","7"
"SANTA MARTA","SOCIEDAD PORTUARIA REGIONAL DE SANTA MARTA SA","TEUS vacios","5.513","615","33",,,"99","2.024","7"
"BARRANCABERMEJA","SOCIEDAD PORTUARIA IMPALA TERMINALS BARRANCABERMEJA S.A.","TEUS vacios",,,,,"160",,"2.024","7"
"CARTAGENA","TERMINAL DE CONTENEDORES DE CARTAGENA S. A.","TEUS llenos","17.473","19.170","127.863",,,"6.252","2.024","7"
"CARTAGENA","COMPAÑIA DE PUERTOS ASOCIADOS S.A.","TEUS llenos","2.156","2.235",,"1.157",,,"2.024","7"
"BARRANCABERMEJA","SOCIEDAD PORTUARIA IMPALA TERMINALS BARRANCABERMEJA S.A.","TEUS llenos",,,,,"217",,"2.024","7"
"BUENAVENTURA","SOCIEDAD PORTUARIA REGIONAL DE BUENAVENTURA S.A","TEUS llenos","6.401","12.442","3.346",,,,"2.024","7"
"CARTAGENA","SOCIEDAD PORTUARIA PUERTO BAHIA SA","TEUS vacios",,,"26",,,,"2.024","7"
"TURBO","UNIBAN LOGISTICA S.A","TEUS llenos","3.808","416",,,,"593","2.024","7"
"SAN ANDRES","SAN ANDRES PORT SOCIETY SA","TEUS llenos",,"152",,,,"601","2.024","7"
"CARTAGENA","TERMINAL DE CONTENEDORES DE CARTAGENA S. A.","TEUS vacios","6.042","2.206","34.687",,,"1.550","2.024","7"
"BARRANQUILLA","PALERMO SOCIEDAD PORTUARIA S.A","TEUS llenos",,,"0",,,,"2.024","7"
"SAN ANDRES","SAN ANDRES PORT SOCIETY SA","TEUS vacios","160",,,,,"610","2.024","7"
"CARTAGENA","SOCIEDAD PORTUARIA REGIONAL DE CARTAGENA SA","TEUS vacios","2.176","975","14.694",,,"933","2.024","7"
"BUENAVENTURA","SOCIEDAD PORTUARIA TERMINAL DE CONTENEDORES DE BUENAVENTURA S.A.","TEUS llenos","4.282","12.738","1.095",,,,"2.024","7"
"TURBO","UNIBAN LOGISTICA S.A","TEUS vacios","426","3.450",,,,,"2.024","7"
"BUENAVENTURA","SOCIEDAD PORTUARIA REGIONAL DE BUENAVENTURA S.A","TEUS vacios","5.431",,"764",,,,"2.024","7"
"BUENAVENTURA","SOCIEDAD PUERTO INDUSTRIAL AGUADULCE S.A.","TEUS vacios","16.239",,,,,"1","2.024","7"
"CARTAGENA","SOCIEDAD PORTUARIA TRANSMARSYP S.A.","TEUS vacios",,,,,,"28","2.024","7"
"CARTAGENA","SOCIEDAD PORTUARIA TRANSMARSYP S.A.","TEUS llenos",,,,,,"451","2.024","7"
"CARTAGENA","PUERTO DE MAMONAL S.A.","TEUS llenos",,"4",,,,,"2.024","7"
"CARTAGENA","SOCIEDAD PORTUARIA REGIONAL DE CARTAGENA SA","TEUS llenos","8.294","10.115","50.052",,,"682","2.024","7"
"BARRANQUILLA","SOCIEDAD PORTUARIA REGIONAL DE BARRANQUILLA S.A.","TEUS vacios","1.056","2.639",,,,"484","2.024","7"
"CARTAGENA","SOCIEDAD PORTUARIA PUERTO BAHIA SA","TEUS llenos",,"30",,,,,"2.024","7"
"CARTAGENA","TERMINAL DE CONTENEDORES DE CARTAGENA S. A.","TEUS vacios","5.096","2.616","31.251",,,"1.552","2.024","8"
"SAN ANDRES","SAN ANDRES PORT SOCIETY SA","TEUS llenos","2","142",,,,"523","2.024","8"
"SANTA MARTA","SOCIEDAD PORTUARIA REGIONAL DE SANTA MARTA SA","TEUS vacios","7.452","1.096","24",,,"45","2.024","8"
"CARTAGENA","SOCIEDAD PORTUARIA TRANSMARSYP S.A.","TEUS vacios",,,,,,"39","2.024","8"
"CARTAGENA","SOCIEDAD PORTUARIA TRANSMARSYP S.A.","TEUS llenos",,,,,,"536","2.024","8"
"BARRANCABERMEJA","SOCIEDAD PORTUARIA IMPALA TERMINALS BARRANCABERMEJA S.A.","TEUS vacios",,,,,"89",,"2.024","8"
"BUENAVENTURA","SOCIEDAD PORTUARIA REGIONAL DE BUENAVENTURA S.A","TEUS vacios","5.698","328","3.728",,,,"2.024","8"
"CARTAGENA","SOCIEDAD PORTUARIA PUERTO BAHIA SA","TEUS vacios",,,"66",,,,"2.024","8"
"BUENAVENTURA","SOCIEDAD PUERTO INDUSTRIAL AGUADULCE S.A.","TEUS llenos","7.570","23.924",,,,"886","2.024","8"
"CARTAGENA","SOCIEDAD PORTUARIA REGIONAL DE CARTAGENA SA","TEUS llenos","7.927","12.986","40.538",,,"1.136","2.024","8"
"CARTAGENA","PUERTO DE MAMONAL S.A.","TEUS llenos",,"5",,,,,"2.024","8"
"SAN ANDRES","SAN ANDRES PORT SOCIETY SA","TEUS vacios","190",,,,,"495","2.024","8"
"TURBO","UNIBAN LOGISTICA S.A","TEUS vacios","364","4.380",,,,,"2.024","8"
"CARTAGENA","COMPAÑIA DE PUERTOS ASOCIADOS S.A.","TEUS vacios","198","769",,,,,"2.024","8"
"BUENAVENTURA","SOCIEDAD PORTUARIA TERMINAL DE CONTENEDORES DE BUENAVENTURA S.A.","TEUS llenos","3.865","12.902","682",,,,"2.024","8"
"BARRANCABERMEJA","SOCIEDAD PORTUARIA IMPALA TERMINALS BARRANCABERMEJA S.A.","TEUS llenos",,,,,"158",,"2.024","8"
"BARRANQUILLA","SOCIEDAD PORTUARIA REGIONAL DE BARRANQUILLA S.A.","TEUS vacios","609","1.752",,,,"1.588","2.024","8"
"BUENAVENTURA","SOCIEDAD PORTUARIA TERMINAL DE CONTENEDORES DE BUENAVENTURA S.A.","TEUS vacios","8.414",,"2.550",,,,"2.024","8"
"CARTAGENA","COMPAÑIA DE PUERTOS ASOCIADOS S.A.","TEUS llenos","1.614","1.384",,"391",,,"2.024","8"
"CARTAGENA","TERMINAL DE CONTENEDORES DE CARTAGENA S. A.","TEUS llenos","17.944","19.841","128.075",,,"6.883","2.024","8"
"BARRANQUILLA","PALERMO SOCIEDAD PORTUARIA S.A","TEUS llenos",,,"0",,,,"2.024","8"
"BARRANQUILLA","SOCIEDAD PORTUARIA REGIONAL DE BARRANQUILLA S.A.","TEUS llenos","5.753","6.578","37","24",,,"2.024","8"
"BUENAVENTURA","SOCIEDAD PUERTO INDUSTRIAL AGUADULCE S.A.","TEUS vacios","14.989",,,,,"42","2.024","8"
"BUENAVENTURA","SOCIEDAD PORTUARIA REGIONAL DE BUENAVENTURA S.A","TEUS llenos","8.958","20.050","12.507",,,,"2.024","8"
"TURBO","UNIBAN LOGISTICA S.A","TEUS llenos","4.044","342",,,,"948","2.024","8"
"CARTAGENA","SOCIEDAD PORTUARIA REGIONAL DE CARTAGENA SA","TEUS vacios","2.639","1.926","11.106",,,"2.303","2.024","8"
"CARTAGENA","SOCIEDAD PORTUARIA PUERTO BAHIA SA","TEUS llenos",,"4",,,,,"2.024","8"
"CARTAGENA","PUERTO DE MAMONAL S.A.","TEUS llenos","14","2",,,,,"2.024","9"
"GUAJIRA","CERREJON ZONA NORTE S.A.","TEUS llenos",,"68",,,,,"2.024","9"
"CARTAGENA","SOCIEDAD PORTUARIA REGIONAL DE CARTAGENA SA","TEUS llenos","7.721","11.408","38.958",,,"672","2.024","9"
"SAN ANDRES","SAN ANDRES PORT SOCIETY SA","TEUS llenos","1","170",,,,"562","2.024","9"
"BUENAVENTURA","SOCIEDAD PORTUARIA TERMINAL DE CONTENEDORES DE BUENAVENTURA S.A.","TEUS vacios","9.627","268","1.866",,,,"2.024","9"
"CARTAGENA","SOCIEDAD PORTUARIA REGIONAL DE CARTAGENA SA","TEUS vacios","1.793","1.083","10.918",,,"2.415","2.024","9"
"BUENAVENTURA","SOCIEDAD PORTUARIA REGIONAL DE BUENAVENTURA S.A","TEUS llenos","8.350","17.824","10.343",,,,"2.024","9"
"BUENAVENTURA","SOCIEDAD PUERTO INDUSTRIAL AGUADULCE S.A.","TEUS vacios","18.813",,,,,"32","2.024","9"
"BUENAVENTURA","SOCIEDAD PUERTO INDUSTRIAL AGUADULCE S.A.","TEUS llenos","7.519","19.967",,,,"803","2.024","9"
"SAN ANDRES","SAN ANDRES PORT SOCIETY SA","TEUS vacios","145","4",,,,"551","2.024","9"
"CARTAGENA","TERMINAL DE CONTENEDORES DE CARTAGENA S. A.","TEUS llenos","17.373","18.706","113.906",,,"6.078","2.024","9"
"BUENAVENTURA","SOCIEDAD PORTUARIA TERMINAL DE CONTENEDORES DE BUENAVENTURA S.A.","TEUS llenos","4.662","14.666","1.105",,,,"2.024","9"
"CARTAGENA","SOCIEDAD PORTUARIA TRANSMARSYP S.A.","TEUS llenos",,,,,,"492","2.024","9"
"BARRANQUILLA","SOCIEDAD PORTUARIA REGIONAL DE BARRANQUILLA S.A.","TEUS vacios","408","2.044",,,,"1.223","2.024","9"
"TURBO","UNIBAN LOGISTICA S.A","TEUS llenos","4.306","470",,,,"826","2.024","9"
"BARRANQUILLA","PALERMO SOCIEDAD PORTUARIA S.A","TEUS llenos",,"4","120",,,,"2.024","9"
"SANTA MARTA","SOCIEDAD PORTUARIA REGIONAL DE SANTA MARTA SA","TEUS vacios","3.100","1.046","6",,,"32","2.024","9"
"CARTAGENA","TERMINAL DE CONTENEDORES DE CARTAGENA S. A.","TEUS vacios","6.235","2.308","35.192",,,"1.138","2.024","9"
"BUENAVENTURA","SOCIEDAD PORTUARIA REGIONAL DE BUENAVENTURA S.A","TEUS vacios","6.133","260","1.106",,,,"2.024","9"
"BARRANCABERMEJA","SOCIEDAD PORTUARIA IMPALA TERMINALS BARRANCABERMEJA S.A.","TEUS llenos",,,,,"245",,"2.024","9"
"BARRANQUILLA","SOCIEDAD PORTUARIA REGIONAL DE BARRANQUILLA S.A.","TEUS llenos","5.176","3.628","7","19",,,"2.024","9"
"CARTAGENA","SOCIEDAD PORTUARIA PUERTO BAHIA SA","TEUS vacios",,,"8",,,,"2.024","9"
"CARTAGENA","COMPAÑIA DE PUERTOS ASOCIADOS S.A.","TEUS vacios","1.712","545",,,,,"2.024","9"
"BARRANCABERMEJA","SOCIEDAD PORTUARIA IMPALA TERMINALS BARRANCABERMEJA S.A.","TEUS vacios",,,,,"193",,"2.024","9"
"CARTAGENA","COMPAÑIA DE PUERTOS ASOCIADOS S.A.","TEUS llenos","2.398","2.534",,"98",,,"2.024","9"
"CARTAGENA","SOCIEDAD PORTUARIA PUERTO BAHIA SA","TEUS llenos",,"12","2",,,,"2.024","9"
"TURBO","UNIBAN LOGISTICA S.A","TEUS vacios","206","5.018",,,,,"2.024","9"
"CARTAGENA","SOCIEDAD PORTUARIA TRANSMARSYP S.A.","TEUS vacios",,,,,,"37","2.024","9"
"BARRANQUILLA","PALERMO SOCIEDAD PORTUARIA S.A","TEUS llenos",,"2",,,,,"2.024","10"
"GUAJIRA","CERREJON ZONA NORTE S.A.","TEUS vacios",,"208",,,,,"2.024","10"
"BUENAVENTURA","SOCIEDAD PORTUARIA TERMINAL DE CONTENEDORES DE BUENAVENTURA S.A.","TEUS vacios","10.864","347","596",,,,"2.024","10"
"BUENAVENTURA","SOCIEDAD PUERTO INDUSTRIAL AGUADULCE S.A.","TEUS llenos","5.664","22.772",,,,"811","2.024","10"
"BARRANQUILLA","SOCIEDAD PORTUARIA REGIONAL DE BARRANQUILLA S.A.","TEUS llenos","5.874","5.165","37","36",,"2","2.024","10"
"TURBO","UNIBAN LOGISTICA S.A","TEUS llenos","4.674","423",,,,"905","2.024","10"
"BUENAVENTURA","SOCIEDAD PORTUARIA REGIONAL DE BUENAVENTURA S.A","TEUS llenos","8.693","13.443","9.587",,,,"2.024","10"
"BUENAVENTURA","SOCIEDAD PORTUARIA REGIONAL DE BUENAVENTURA S.A","TEUS vacios","4.415","727","426",,,,"2.024","10"
"CARTAGENA","SOCIEDAD PORTUARIA TRANSMARSYP S.A.","TEUS vacios",,,,,,"24","2.024","10"
"TURBO","UNIBAN LOGISTICA S.A","TEUS vacios","152","4.222",,,,,"2.024","10"
"CARTAGENA","SOCIEDAD PORTUARIA REGIONAL DE CARTAGENA SA","TEUS llenos","8.442","12.053","38.197",,,"1.277","2.024","10"
"CARTAGENA","COMPAÑIA DE PUERTOS ASOCIADOS S.A.","TEUS vacios","2.650","1.501",,,,,"2.024","10"
"CARTAGENA","TERMINAL DE CONTENEDORES DE CARTAGENA S. A.","TEUS vacios","4.901","2.479","17.249",,,"2.840","2.024","10"
"SAN ANDRES","SAN ANDRES PORT SOCIETY SA","TEUS vacios","164",,,,,"472","2.024","10"
"CARTAGENA","SOCIEDAD PORTUARIA TRANSMARSYP S.A.","TEUS llenos",,,,,,"410","2.024","10"
"CARTAGENA","COMPAÑIA DE PUERTOS ASOCIADOS S.A.","TEUS llenos","2.106","2.576",,"303",,,"2.024","10"
"CARTAGENA","TERMINAL DE CONTENEDORES DE CARTAGENA S. A.","TEUS llenos","20.198","20.700","122.543",,,"6.833","2.024","10"
"BARRANQUILLA","SOCIEDAD PORTUARIA REGIONAL DE BARRANQUILLA S.A.","TEUS vacios","1.037","1.201",,,,"1.034","2.024","10"
"GUAJIRA","CERREJON ZONA NORTE S.A.","TEUS llenos",,"179",,,,,"2.024","10"
"BUENAVENTURA","SOCIEDAD PORTUARIA TERMINAL DE CONTENEDORES DE BUENAVENTURA S.A.","TEUS llenos","3.279","17.210","887",,,,"2.024","10"
"SAN ANDRES","SAN ANDRES PORT SOCIETY SA","TEUS llenos",,"95",,,,"572","2.024","10"
"SANTA MARTA","SOCIEDAD PORTUARIA REGIONAL DE SANTA MARTA SA","TEUS vacios","4.246","902","474",,,"30","2.024","10"
"BARRANCABERMEJA","SOCIEDAD PORTUARIA IMPALA TERMINALS BARRANCABERMEJA S.A.","TEUS vacios",,,,,"487",,"2.024","10"
"BUENAVENTURA","SOCIEDAD PUERTO INDUSTRIAL AGUADULCE S.A.","TEUS vacios","14.997","8",,,,"24","2.024","10"
"BARRANCABERMEJA","SOCIEDAD PORTUARIA IMPALA TERMINALS BARRANCABERMEJA S.A.","TEUS llenos",,,,,"308",,"2.024","10"
"CARTAGENA","SOCIEDAD PORTUARIA PUERTO BAHIA SA","TEUS llenos",,,"2",,,,"2.024","10"
"CARTAGENA","SOCIEDAD PORTUARIA PUERTO BAHIA SA","TEUS vacios",,,"14",,,,"2.024","10"
"CARTAGENA","PUERTO DE MAMONAL S.A.","TEUS llenos",,"10",,,,,"2.024","10"
"CARTAGENA","SOCIEDAD PORTUARIA REGIONAL DE CARTAGENA SA","TEUS vacios","2.097","1.607","11.287",,,"1.500","2.024","10"
"BUENAVENTURA","SOCIEDAD PORTUARIA REGIONAL DE BUENAVENTURA S.A","TEUS llenos","8.864","19.631","10.346",,,,"2.024","11"
"BUENAVENTURA","SOCIEDAD PORTUARIA TERMINAL DE CONTENEDORES DE BUENAVENTURA S.A.","TEUS llenos","3.078","16.843","1.372",,,,"2.024","11"
"BARRANQUILLA","SOCIEDAD PORTUARIA REGIONAL DE BARRANQUILLA S.A.","TEUS llenos","4.624","4.687","31","29",,,"2.024","11"
"SAN ANDRES","SAN ANDRES PORT SOCIETY SA","TEUS vacios","193",,,,,"514","2.024","11"
"CARTAGENA","SOCIEDAD PORTUARIA PUERTO BAHIA SA","TEUS vacios",,"6","24",,,,"2.024","11"
"CARTAGENA","PUERTO DE MAMONAL S.A.","TEUS llenos",,"30",,,,,"2.024","11"
"BUENAVENTURA","SOCIEDAD PUERTO INDUSTRIAL AGUADULCE S.A.","TEUS llenos","11.246","34.928",,,,"861","2.024","11"
"BUENAVENTURA","SOCIEDAD PUERTO INDUSTRIAL AGUADULCE S.A.","TEUS vacios","24.926","375",,,,"212","2.024","11"
"CARTAGENA","SOCIEDAD PORTUARIA TRANSMARSYP S.A.","TEUS llenos",,,,,,"602","2.024","11"
